# This file is generated on 06-Dec-2021 at 11:56:23 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 1.4702e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e+01, 3.1854e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, -5.2751e-02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, -1.4003e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.8000e+01, -2.0334e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.8884e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.7468e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.5994e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 1.4650e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 1.3325e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 1.2108e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.1051e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 9.9729e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 8.8791e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 7.9726e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 6.8465e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 5.7572e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 4.7353e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 3.7836e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 3.0487e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 2.1086e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 1.1405e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e+01, 2.4711e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, -4.0922e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, -1.0863e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.8000e+01, -1.5775e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.5433e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 1.4276e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 1.3072e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 1.1973e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 1.0890e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 9.8959e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 9.0315e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 8.1507e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 7.2568e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 6.5159e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 5.5956e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 4.7052e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 3.8701e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 3.0923e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 2.4917e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.7233e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 9.3213e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e+01, 2.0196e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, -3.3445e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, -8.8782e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.8000e+01, -1.2892e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 1.3089e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 1.2108e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 1.1086e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 1.0155e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 9.2359e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 8.3929e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 7.6598e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 6.9127e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 6.1546e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 5.5262e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 4.7457e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 3.9906e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 3.2823e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 2.6226e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 2.1132e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 1.4616e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 7.9056e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e+01, 1.7129e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, -2.8365e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, -7.5298e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.8000e+01, -1.0934e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 1.1417e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 1.0561e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 9.6699e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 8.8570e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 8.0558e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 7.3205e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 6.6810e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 6.0295e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 5.3682e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.5000e-01, 4.8201e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.7000e+00, 4.1393e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+00, 3.4807e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 5.1000e+00, 2.8629e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.3000e+00, 2.2875e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.2000e+01, 1.8432e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.9000e+01, 1.2748e-01
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.0000e+01, 6.8954e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e+01, 1.4940e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e+01, -2.4741e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 8.0000e+01, -6.5677e-02
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 9.8000e+01, -9.5371e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 1.0182e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 9.4188e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 8.6243e-01
