# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 3, 3.7500e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 1.7938e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 1.7938e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 1.7938e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 1.7938e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 1.7938e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.7298e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.6153e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.5133e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.3839e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.2534e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.0767e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 8.9697e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 7.1385e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.3755e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 4.0116e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.2740e-01
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 8.3118e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 1.9533e-02
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 1.7451e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 1.7451e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 1.7451e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 1.7451e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 1.7451e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.6828e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.5714e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.4722e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.3464e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.2193e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.0475e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 8.7261e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 6.9446e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.2296e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 3.9027e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.2123e-01
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 8.0861e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 1.9002e-02
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 1.7116e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 1.7116e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 1.7116e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 1.7116e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 1.7116e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.6506e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.5413e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.4440e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.3205e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.1959e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.0274e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 8.5588e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 6.8115e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.1293e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 3.8279e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.1699e-01
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 7.9310e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 1.8638e-02
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 3.7500e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 1.6921e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 1.4469e+00, 1.6921e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 1.4469e+00, 1.6921e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 1.4469e+00, 1.6921e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 1.6921e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 1.6317e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 1.5237e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 1.4275e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 1.3055e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 1.1823e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 1.0157e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 8.4609e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 6.7336e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 5.0707e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 3.7841e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 2.1451e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 6.7042e-02, 7.8404e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e+01, 1.5755e-02, 1.8425e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.0000e-02, 1.4469e+00, 1.6879e+00
