# This file is generated on 06-Dec-2021 at 12:14:30 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_scin_dB
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 1.1295e-01
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 9.0247e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 7.2718e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 5.0293e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 2.7204e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 4.5000e+01, 5.8941e-03
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, -9.7607e-03
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, -2.5911e-02
1, 7, 3.7500e+01, 8.5000e+01, 1.0000e+00, 9.8000e+01, -3.7625e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.0000e-02, 4.4909e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.6000e-02, 4.1542e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 2.7000e-02, 3.8038e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 4.5000e-02, 3.4840e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 7.7000e-02, 3.1689e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.3000e-01, 2.8796e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 2.1000e-01, 2.6281e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.5000e-01, 2.3718e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 6.0000e-01, 2.1116e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 9.5000e-01, 1.8961e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.7000e+00, 1.6282e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.0000e+00, 1.3692e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 5.1000e+00, 1.1262e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 8.3000e+00, 8.9983e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.2000e+01, 7.2506e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 1.9000e+01, 5.0146e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.0000e+01, 2.7124e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 4.5000e+01, 5.8769e-03
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 6.0000e+01, -9.7321e-03
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 8.0000e+01, -2.5835e-02
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 9.8000e+01, -3.7515e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.0000e-02, 4.4844e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.6000e-02, 4.1482e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 2.7000e-02, 3.7982e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 4.5000e-02, 3.4789e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 7.7000e-02, 3.1642e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.3000e-01, 2.8754e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 2.1000e-01, 2.6242e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.5000e-01, 2.3683e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 6.0000e-01, 2.1086e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 9.5000e-01, 1.8933e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.7000e+00, 1.6259e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.0000e+00, 1.3672e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 5.1000e+00, 1.1245e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 8.3000e+00, 8.9852e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.2000e+01, 7.2400e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.9000e+01, 5.0073e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.0000e+01, 2.7084e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 4.5000e+01, 5.8683e-03
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 6.0000e+01, -9.7179e-03
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 8.0000e+01, -2.5797e-02
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 9.8000e+01, -3.7461e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.0000e-02, 4.4836e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.6000e-02, 4.1474e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 2.7000e-02, 3.7976e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 4.5000e-02, 3.4783e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 7.7000e-02, 3.1637e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.3000e-01, 2.8749e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 2.1000e-01, 2.6238e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.5000e-01, 2.3679e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 6.0000e-01, 2.1082e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 9.5000e-01, 1.8929e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.7000e+00, 1.6256e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.0000e+00, 1.3669e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 5.1000e+00, 1.1243e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 8.3000e+00, 8.9835e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.2000e+01, 7.2386e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.9000e+01, 5.0064e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.0000e+01, 2.7080e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 4.5000e+01, 5.8672e-03
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 6.0000e+01, -9.7161e-03
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 8.0000e+01, -2.5792e-02
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 9.8000e+01, -3.7454e-02
