# This file is generated on 06-Dec-2021 at 12:10:29 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 37.5GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 5.3211e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 4.5695e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 3.8424e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 3.1604e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 2.5253e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 2.0348e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 1.4073e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 7.6121e-02
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e+01, 1.6493e-02
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, -2.7312e-02
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.0000e+01, -7.2502e-02
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.8000e+01, -1.0528e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.0300e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 9.5282e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 8.7245e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 7.9911e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 7.2682e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 6.6047e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 6.0278e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 5.4399e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 4.8433e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 4.3488e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 3.7346e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 3.1404e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 2.5830e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 2.0639e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 1.6630e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.1502e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 6.2212e-02
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e+01, 1.3479e-02
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, -2.2322e-02
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, -5.9255e-02
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.8000e+01, -8.6046e-02
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 8.7360e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 8.0810e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 7.3993e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 6.7773e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 6.1642e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 5.6016e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 5.1123e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 4.6137e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 4.1077e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 3.6883e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 3.1674e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 2.6634e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 2.1907e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 1.7504e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 1.4104e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 9.7547e-02
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 5.2763e-02
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e+01, 1.1432e-02
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, -1.8931e-02
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, -5.0255e-02
