# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 6.0000e-01, 4.0013e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 9.5000e-01, 3.5928e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.7000e+00, 3.0853e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.0000e+00, 2.5944e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 5.1000e+00, 2.1339e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 8.3000e+00, 1.7051e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.2000e+01, 1.3739e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.9000e+01, 9.5020e-02
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.0000e+01, 5.1396e-02
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.5000e+01, 1.1136e-02
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 6.0000e+01, -1.8441e-02
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 8.0000e+01, -4.8953e-02
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 9.8000e+01, -7.1086e-02
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.0000e-02, 8.4972e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.6000e-02, 7.8601e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 2.7000e-02, 7.1971e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.5000e-02, 6.5921e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 7.7000e-02, 5.9958e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.3000e-01, 5.4485e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 2.1000e-01, 4.9725e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.5000e-01, 4.4876e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 6.0000e-01, 3.9954e-01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 9.5000e-01, 3.5875e-01
