# This file is generated on 06-Dec-2021 at 12:06:30 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,hr_km,R001_mm_h,k,alpha,att_rain_dB
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.3000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8353e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 2.1000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2390e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.7122e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.2663e+01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 9.6442e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.7000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.6957e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.5895e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 5.1000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.1635e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.3000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2118e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.2000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6695e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 1.9000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.1610e+00
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 3.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.9808e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 4.5000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.6563e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 6.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.4014e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 8.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.4063e-01
1, 3, 7.5000e+01, 6.5000e+01, 1.0000e+00, 9.8000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8335e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.7182e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.6312e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.5049e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.5109e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.5913e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.3000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8232e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 2.1000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2292e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.7046e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.2606e+01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 9.5996e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.7000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.6641e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.5673e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 5.1000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.1479e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.3000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2007e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.2000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6610e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 1.9000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.1550e+00
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 3.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.9392e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 4.5000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.6264e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 6.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.3779e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 8.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.3879e-01
1, 4, 7.5000e+01, 7.0000e+01, 1.0000e+00, 9.8000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8182e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.6681e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.5872e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.4676e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.4796e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.5658e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.8028e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.2128e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6918e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.2509e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 9.5245e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.6108e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.5301e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.1218e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.1821e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6468e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.1450e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.8691e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.5761e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.3384e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.3571e-01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.7923e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.5730e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.5039e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.3968e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.4204e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.5176e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.7640e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.1816e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6675e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.2325e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 9.3825e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.5101e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.4597e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.0723e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.1470e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6199e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.1260e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.7368e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.4811e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.2638e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.2988e-01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.7435e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.4256e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.3746e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.2871e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.3285e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.4429e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.7041e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.1334e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.6299e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.2042e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 9.1628e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.3544e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.3508e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.9959e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.0927e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.5785e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 1.0968e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.5326e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.3345e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.1487e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 3.2089e-01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.8000e+01, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 2.6683e-01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.0000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 7.3718e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.6000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 6.3274e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 2.7000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 5.2471e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.5000e-02, 2.4385e+00, 5.1365e+01, 1.1024e+00, 7.1656e-01, 4.2950e+01
