# This file is generated on 06-Dec-2021 at 12:13:10 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 3.0000e+01, 6.8252e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 4.5000e+01, 5.7432e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 6.0000e+01, 5.1851e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 8.0000e+01, 4.7832e-01
1, 8, 3.7500e+01, 8.7000e+01, 1.0000e+00, 9.8000e+01, 4.5895e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.0000e-02, 4.4002e+01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.6000e-02, 3.7593e+01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 2.7000e-02, 3.1088e+01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 4.5000e-02, 2.5462e+01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 7.7000e-02, 2.0357e+01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.3000e-01, 1.6119e+01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 2.1000e-01, 1.2836e+01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.5000e-01, 9.9423e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 6.0000e-01, 7.5078e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 9.5000e-01, 5.8506e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.7000e+00, 4.2143e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.0000e+00, 3.0047e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 5.1000e+00, 2.1442e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 8.3000e+00, 1.5500e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.2000e+01, 1.2086e+00
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 1.9000e+01, 8.9024e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 3.0000e+01, 6.8591e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 4.5000e+01, 5.7662e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 6.0000e+01, 5.2022e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 8.0000e+01, 4.7951e-01
1, 9, 3.7500e+01, 8.9000e+01, 1.0000e+00, 9.8000e+01, 4.5979e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.0000e-02, 4.5272e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.6000e-02, 3.8693e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 2.7000e-02, 3.2010e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 4.5000e-02, 2.6223e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 7.7000e-02, 2.0968e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.3000e-01, 1.6603e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 2.1000e-01, 1.3221e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.5000e-01, 1.0238e+01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 6.0000e-01, 7.7280e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 9.5000e-01, 6.0190e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.7000e+00, 4.3319e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.0000e+00, 3.0856e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 5.1000e+00, 2.2002e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 8.3000e+00, 1.5893e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.2000e+01, 1.2382e+00
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 1.9000e+01, 9.1091e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 3.0000e+01, 7.0017e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 4.5000e+01, 5.8679e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 6.0000e+01, 5.2812e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 8.0000e+01, 4.8549e-01
1, 10, 3.7500e+01, 8.9900e+01, 1.0000e+00, 9.8000e+01, 4.6453e-01
