# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,liq_cont_g_m3,att_cld_dB
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 1.4469e+00, 5.1916e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 1.3952e+00, 5.0064e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 1.3029e+00, 4.6750e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 1.2206e+00, 4.3797e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 1.1163e+00, 4.0054e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.0109e+00, 3.6275e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 8.6847e-01, 3.1162e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 7.2348e-01, 2.5960e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 5.7578e-01, 2.0660e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 4.3358e-01, 1.5558e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 3.2357e-01, 1.1610e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 1.8342e-01, 6.5815e-01
