# This file is generated on 06-Dec-2021 at 12:09:09 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Ljubljana 75GHz (Lat = 4.6040e+01 deg, Lon = 1.4512e+01 deg, Alt = 2.9800e-01 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_comb_dB
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.7000e-02, 7.1672e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e-02, 6.0049e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 7.7000e-02, 4.9237e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.3000e-01, 3.9970e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 2.1000e-01, 3.2577e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.5000e-01, 2.6016e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e-01, 2.0310e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.5000e-01, 1.6304e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.7000e+00, 1.2231e+01
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+00, 9.1511e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 5.1000e+00, 6.8763e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.3000e+00, 5.1936e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.2000e+01, 4.1261e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 1.9000e+01, 2.9876e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 3.0000e+01, 2.1132e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 4.5000e+01, 1.6370e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 6.0000e+01, 1.4237e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 8.0000e+01, 1.3015e+00
1, 5, 7.5000e+01, 7.5000e+01, 1.0000e+00, 9.8000e+01, 1.2329e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.0000e-02, 9.6718e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.6000e-02, 8.4214e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.7000e-02, 7.1185e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e-02, 5.9621e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 7.7000e-02, 4.8866e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.3000e-01, 3.9651e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 2.1000e-01, 3.2304e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.5000e-01, 2.5785e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e-01, 2.0117e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.5000e-01, 1.6140e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.7000e+00, 1.2099e+01
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+00, 9.0454e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 5.1000e+00, 6.7923e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.3000e+00, 5.1272e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.2000e+01, 4.0720e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 1.9000e+01, 2.9476e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 3.0000e+01, 2.0845e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 4.5000e+01, 1.6140e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 6.0000e+01, 1.4028e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 8.0000e+01, 1.2815e+00
1, 6, 7.5000e+01, 8.0000e+01, 1.0000e+00, 9.8000e+01, 1.2133e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.0000e-02, 9.4958e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.6000e-02, 8.2658e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.7000e-02, 6.9848e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e-02, 5.8486e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 7.7000e-02, 4.7926e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.3000e-01, 3.8883e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 2.1000e-01, 3.1674e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.5000e-01, 2.5281e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e-01, 1.9726e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.5000e-01, 1.5828e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.7000e+00, 1.1868e+01
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+00, 8.8753e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 5.1000e+00, 6.6668e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.3000e+00, 5.0339e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.2000e+01, 3.9986e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 1.9000e+01, 2.8946e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 3.0000e+01, 2.0470e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 4.5000e+01, 1.5856e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 6.0000e+01, 1.3789e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 8.0000e+01, 1.2606e+00
1, 7, 7.5000e+01, 8.5000e+01, 1.0000e+00, 9.8000e+01, 1.1943e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.0000e-02, 9.4063e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.6000e-02, 8.1868e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 2.7000e-02, 6.9173e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.5000e-02, 5.7917e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 7.7000e-02, 4.7458e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.3000e-01, 3.8503e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 2.1000e-01, 3.1366e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.5000e-01, 2.5038e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 6.0000e-01, 1.9539e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 9.5000e-01, 1.5681e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.7000e+00, 1.1762e+01
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.0000e+00, 8.7991e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 5.1000e+00, 6.6119e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 8.3000e+00, 4.9940e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.2000e+01, 3.9676e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 1.9000e+01, 2.8725e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 3.0000e+01, 2.0314e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 4.5000e+01, 1.5740e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 6.0000e+01, 1.3695e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 8.0000e+01, 1.2529e+00
1, 8, 7.5000e+01, 8.7000e+01, 1.0000e+00, 9.8000e+01, 1.1874e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.0000e-02, 9.3881e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.6000e-02, 8.1707e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 2.7000e-02, 6.9035e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.5000e-02, 5.7800e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 7.7000e-02, 4.7361e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.3000e-01, 3.8424e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 2.1000e-01, 3.1301e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.5000e-01, 2.4986e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 6.0000e-01, 1.9499e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 9.5000e-01, 1.5649e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.7000e+00, 1.1738e+01
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.0000e+00, 8.7815e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 5.1000e+00, 6.5990e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 8.3000e+00, 4.9844e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.2000e+01, 3.9600e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 1.9000e+01, 2.8670e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 3.0000e+01, 2.0275e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 4.5000e+01, 1.5711e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 6.0000e+01, 1.3671e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 8.0000e+01, 1.2507e+00
1, 9, 7.5000e+01, 8.9000e+01, 1.0000e+00, 9.8000e+01, 1.1855e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.0000e-02, 9.6009e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.6000e-02, 8.3580e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 2.7000e-02, 7.0630e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.5000e-02, 5.9140e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 7.7000e-02, 4.8456e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.3000e-01, 3.9306e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 2.1000e-01, 3.2013e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.5000e-01, 2.5543e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 6.0000e-01, 1.9921e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 9.5000e-01, 1.5977e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.7000e+00, 1.1971e+01
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.0000e+00, 8.9452e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 5.1000e+00, 6.7142e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 8.3000e+00, 5.0665e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.2000e+01, 4.0229e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 1.9000e+01, 2.9116e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 3.0000e+01, 2.0587e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 4.5000e+01, 1.5936e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 6.0000e+01, 1.3847e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 8.0000e+01, 1.2644e+00
1, 10, 7.5000e+01, 8.9900e+01, 1.0000e+00, 9.8000e+01, 1.1968e+00
