# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 8.6537e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 8.6537e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 8.6537e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 8.6537e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 8.6537e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 8.3198e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 7.6924e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 6.8871e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 6.0562e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 5.2864e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 4.2784e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 3.1973e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 2.1428e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 1.2764e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 7.4714e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 2.4854e-01
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 2.4156e-02
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 4.9822e-03
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 6, 7.5000e+01, 3.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 7.5436e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 7.5436e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 7.5436e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 7.5436e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 7.5436e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 7.2525e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 6.7056e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 6.0037e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 5.2793e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 4.6083e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 3.7296e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 2.7872e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 1.8680e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 1.1127e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 6.5130e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 2.1666e-01
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 2.1057e-02
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 4.3431e-03
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 7, 7.5000e+01, 3.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 6.7314e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 6.7314e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 6.7314e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 6.7314e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 6.7314e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 6.4716e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 5.9836e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 5.3572e+00
1, 8, 7.5000e+01, 4.0000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 4.7109e+00
