# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,att_comb_dB
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+00, 4.5405e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 5.1000e+00, 3.3029e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.3000e+00, 2.4285e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.2000e+01, 1.9202e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 1.9000e+01, 1.4428e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 3.0000e+01, 1.1431e+00
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 4.5000e+01, 9.9194e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 6.0000e+01, 9.1698e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 8.0000e+01, 8.7052e-01
1, 6, 3.7500e+01, 3.0000e+01, 1.0000e+00, 9.8000e+01, 8.5609e-01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.0000e-02, 5.2491e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.6000e-02, 4.5133e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.7000e-02, 3.7625e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 4.5000e-02, 3.1098e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 7.7000e-02, 2.5146e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 1.3000e-01, 2.0149e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 2.1000e-01, 1.6227e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 3.5000e-01, 1.2732e+01
1, 7, 3.7500e+01, 3.5000e+01, 1.0000e+00, 6.0000e-01, 9.7654e+00
