# This file is generated on 06-Dec-2021 at 12:05:10 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 37.5GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
Site_number,Satellite_number,Frequency_GHz,Elevation_angle_deg,Elevation_probability,Time_exceeded_%,liq_cont_g_m3,att_cld_dB
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 4.1709e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 4.1709e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 4.1709e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 4.1709e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 4.0099e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 3.7075e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 3.3194e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 2.9190e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 2.5479e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 2.0621e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 1.5410e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 1.0328e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 6.1521e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 3.6010e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 1.1979e-01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 1.1642e-02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 2.4013e-03
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 3.3754e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 3.3754e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 3.3754e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 3.3754e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 3.3754e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 3.2452e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 3.0005e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 2.6864e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 2.3623e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 2.0620e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 1.6688e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 1.2471e+00
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 8.3584e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 4.9789e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 2.9143e-01
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 9.6945e-02
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 9.4220e-03
1, 5, 3.7500e+01, 2.5000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 1.9433e-03
